shipment_id_raw,po_id_raw,tracking_id_raw,carrier_id_raw,supplier_handover_date_raw,ship_date_raw,expected_arrival_date_raw,destination_warehouse_id_raw,source_system,record_updated_at,ingestion_timestamp,batch_id
SHP-00000033,PO-00000034,TRK-62227583,FedEx,2025-02-22 16:00:00,45710,2025-02-25 16:00:00,WH-MUM-03,SAP_TM,2025-02-22 16:18:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000034,PO-00000035,TRK-23041092,Oceanic Freight,2025-02-17 12:00:00,2025-02-17 12:00:00,2025-02-26 12:00:00, WH-BLR-04 ,SAP_TM,2025-02-17 14:21:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000035,PO-00000036,TRK-95368916,Local-Post,2025-02-21 12:00:00,2025-02-21 12:00:00,2025-02-26 12:00:00,WH-DEL-02,SAP_TM,2025-02-21 14:09:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000036,PO-00000037,TRK-65291735,DHL Express,2025-03-01 14:00:00,2025-03-01 14:00:00,2025-03-03 14:00:00,WH-LKO-01,SAP_TM,2025-03-01 15:15:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000037,PO-00000038,TRK-76348147,Local-Post,2025-02-23 16:00:00,2025-02-23 16:00:00,2025-02-28 16:00:00,WH-LKO-01,SAP_TM,2025-02-23 18:38:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000038,PO-00000039,TRK-66550659,Local-Post,2025-02-26 14:00:00,2025-02-26 14:00:00,2025-03-03 14:00:00,WH-BLR-04,SAP_TM,2025-02-26 14:20:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000039,PO-00000040,TRK-48045845,DHL Express,2025-03-01 11:00:00,2025-03-01 11:00:00,2025-03-03 11:00:00,WH-MUM-03,SAP_TM,2025-03-01 13:31:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000040,PO-00000041,TRK-41791993,DHL Express,2025-03-03 08:00:00,2025-03-03 08:00:00,2025-03-05 08:00:00,WH-LKO-01,SAP_TM,2025-03-06 08:19:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000041,PO-00000042,TRK-55347247,DHL Express,2025-03-02 14:00:00,2025-03-02 14:00:00,2025-03-04 14:00:00,WH-LKO-01,SAP_TM,2025-03-02 16:02:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000042,PO-00000043,TRK-20605688,Local-Post,2025-03-03 13:00:00,2025-03-03 13:00:00,2025-03-08 13:00:00,WH-DEL-02,SAP_TM,2025-03-03 15:07:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000043,PO-00000044,TRK-65260769,DHL Express,06/03/2025,2025-03-06 13:00:00,03-08-2025,WH-DEL-02,SAP_TM,2025-03-06 13:17:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000044,PO-00000045,TRK-92280642,Oceanic Freight,2025-03-10 16:00:00,2025-03-10 16:00:00,45735,WH-LKO-01,SAP_TM,2025-03-10 16:35:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000045,PO-00000046,TRK-90587696,DHL Express,2025-03-07 11:00:00,2025-03-07 11:00:00,2025-03-09 11:00:00,WH-LKO-01,SAP_TM,2025-03-07 13:45:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000046,PO-00000047,TRK-55062043,FedEx,2025-03-09 12:00:00,2025-03-09 12:00:00,2025-03-12 12:00:00,WH-BLR-04,SAP_TM,2025-03-09 13:18:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000047,PO-00000048,TRK-89135362,Local-Post,2025-03-18T12:00:00+05:30,2025-03-18 12:00:00,2025-03-23 12:00:00,WH-LKO-01,SAP_TM,2025-03-18 14:51:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000048,PO-00000049,TRK-74339275,Local-Post,2025-03-23 08:00:00,2025-03-23 08:00:00,2025-03-28 08:00:00,WH-LKO-01,SAP_TM,2025-03-23 10:49:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000049,PO-00000050,TRK-93176622,FedEx,2025-03-18 11:00:00,2025-03-18 11:00:00,2025-03-21T11:00:00+05:30,WH-BLR-04,SAP_TM,2025-03-18 13:59:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000050,PO-00000051,TRK-69146961,FedEx,2025-03-15 16:00:00,2025-03-15 16:00:00,2025-03-18 16:00:00,WH-DEL-02,SAP_TM,2025-03-15 16:06:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000051,PO-00000052,TRK-31796368,DHL Express,2025-03-20 11:00:00,2025-03-20 11:00:00,2025-03-22 11:00:00,WH-DEL-02,SAP_TM,2025-03-20 12:42:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000052,PO-00000053,TRK-64013259,Oceanic Freight,2025-03-19 09:00:00,2025-03-19 09:00:00,2025-03-28 09:00:00,WH-LKO-01,SAP_TM,2025-03-19 09:29:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000053,PO-00000054,TRK-60590422, Local-Post ,2025-03-27 15:00:00,2025-03-27 15:00:00,2025-04-01 15:00:00,WH-DEL-02,SAP_TM,2025-03-27 17:39:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000054,PO-00000055,TRK-88171050,FedEx,2025-03-28 08:00:00,2025-03-28 08:00:00,2025-03-31 08:00:00,wh-mum-03,SAP_TM,2025-03-28 10:47:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000055,PO-00000056,TRK-52961707,Oceanic Freight,2025-03-28 15:00:00,2025-03-28 15:00:00,2025-04-06 15:00:00,WH-LKO-01,SAP_TM,2025-03-28 15:50:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000056,PO-00000058,TRK-81489020,Local-Post,2025-03-30 13:00:00,2025-03-30 13:00:00,2025-04-04 13:00:00,WH-MUM-03,SAP_TM,2025-03-30 14:00:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000057,PO-00000059,TRK-92582799,Oceanic Freight,09/04/2025,2025-04-09 16:00:00,2025-04-18 16:00:00,WH-BLR-04,SAP_TM,2025-04-09 18:57:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000058,PO-00000060,TRK-56050260,FedEx,2025-03-29 09:00:00,2025-03-29 09:00:00,2025-04-01 09:00:00,WH-DEL-02,SAP_TM,2025-03-29 09:15:00,2026-08-05 02:59:59,BATCH_202503_RAW_INBOUND_SHIPMENTS
SHP-00000059,PO-00000061,TRK-89445758,Local-Post,2025-04-03 08:00:00,2025-04-03 08:00:00,2025-04-08 08:00:00,WH-BLR-04,SAP_TM,2025-04-03 09:02:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000060,PO-00000062,TRK-96029861,Local-Post,2025-04-07 10:00:00,2025-04-07 10:00:00,2025-04-12 10:00:00,WH-BLR-04,SAP_TM,2025-04-07 11:43:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000061,PO-00000063,TRK-62514763,Local-Post,2025-04-05 11:00:00,2025-04-05 11:00:00,2025-04-10 11:00:00,WH-BLR-04,SAP_TM,2025-04-05 12:37:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000062,PO-00000064,TRK-13027289,FedEx,2025-04-02 11:00:00,2025-04-02 11:00:00,2025-04-05 11:00:00,WH-MUM-03,SAP_TM,2025-04-02 13:43:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000063,PO-00000065,TRK-38595671,Local-Post,2025-04-05 15:00:00,2025-04-05T15:00:00+05:30,2025-04-10 15:00:00,WH-BLR-04,SAP_TM,2025-04-05 15:05:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
 SHP-00000064 ,PO-00000066,TRK-39810621,FedEx,2025-04-02 12:00:00,2025-04-02 12:00:00,2025-04-05 12:00:00,WH-MUM-03,SAP_TM,2025-04-02 13:24:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000065,PO-00000067,TRK-54618797,Local-Post,2025-04-07 16:00:00,2025-04-07 16:00:00,2025-04-12 16:00:00,WH-LKO-01,SAP_TM,2025-04-07 17:43:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000066,PO-00000068,TRK-26209551,FedEx,2025-04-11 08:00:00,2025-04-11 08:00:00,2025-04-14 08:00:00,WH-LKO-01,SAP_TM,2025-04-11 09:08:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000067,PO-00000069,TRK-96148277,DHL Express,2025-04-09 10:00:00,2025-04-09 10:00:00,2025-04-11 10:00:00,WH-MUM-03,SAP_TM,2025-04-09 11:12:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000068,PO-00000070,TRK-12601782,Oceanic Freight,2025-04-06 16:00:00,2025-04-06 16:00:00,2025-04-15 16:00:00,WH-MUM-03,SAP_TM,2025-04-06 17:33:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000069,PO-00000071,TRK-83283845,DHL Express,2025-04-11 08:00:00,2025-04-11 08:00:00,2025-04-13 08:00:00,WH-DEL-02,SAP_TM,2025-04-11 10:42:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000070,PO-00000072,TRK-55391677,FedEx,2025-04-06 11:00:00,2025-04-06 11:00:00,2025-04-09 11:00:00,WH-DEL-02,SAP_TM,2025-04-06 12:19:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000071,PO-00000073,TRK-38232516,Oceanic Freight,2025-04-08 14:00:00,2025-04-08 14:00:00,2025-04-17 14:00:00,WH-LKO-01,SAP_TM,2025-04-08 16:33:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000072,PO-00000074,TRK-29976959,DHL Express,2025-04-17 09:00:00,2025-04-17 09:00:00,2025-04-19 09:00:00,WH-LKO-01,SAP_TM,2025-04-17 11:57:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000073,PO-00000075,trk-42405600,DHL Express,2025-04-09 15:00:00,2025-04-09 15:00:00,2025-04-11 15:00:00,WH-DEL-02,SAP_TM,2025-04-09 15:09:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000074,PO-00000076,TRK-10037402,FedEx,2025-04-14 12:00:00,2025-04-14 12:00:00,2025-04-17 12:00:00,WH-LKO-01,SAP_TM,2025-04-14 14:44:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000075,PO-00000077,TRK-76780677,N/A,2025-04-13 12:00:00,2025-04-13 12:00:00,04-18-2025,WH-LKO-01,SAP_TM,2025-04-13 13:58:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000076,PO-00000078,TRK-34237757,Local-Post,2025-04-17 08:00:00,2025-04-17 08:00:00,2025-04-22 08:00:00,WH-MUM-03,SAP_TM,2025-05-14 09:12:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000077,PO-00000079,TRK-65799007,FedEx,2025-04-17 13:00:00,2025-04-17 13:00:00,2025-04-20 13:00:00,WH-MUM-03,SAP_TM,2025-04-17 15:48:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000078,PO-00000080,TRK-77607042,DHL Express,2025-04-20 08:00:00,2025-04-20 08:00:00,2025-04-22 08:00:00,WH-BLR-04,SAP_TM,2025-04-20 10:16:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000079,PO-00000081, TRK-37763354 ,Oceanic Freight,2025-04-19 08:00:00,2025-04-19 08:00:00,2025-04-28 08:00:00,WH-BLR-04,SAP_TM,2025-04-19 08:13:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000080,PO-00000082,TRK-82292526,FedEx,2025-04-23 11:00:00,2025-04-23 11:00:00,2025-04-26 11:00:00,WH-DEL-02,SAP_TM,2025-04-23 11:21:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000081,PO-00000083,TRK-30014541,Local-Post,2025-04-23 11:00:00,2025-04-23 11:00:00,2025-04-28 11:00:00,WH-MUM-03,SAP_TM,2025-04-23 13:25:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000082,PO-00000084,TRK-96379358,DHL Express,2025-04-26 09:00:00,2025-04-26 09:00:00,2025-04-28 09:00:00,WH-MUM-03,SAP_TM,2025-04-26 09:50:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000083,PO-00000085,TRK-51552339,Local-Post,2025-04-25 16:00:00,2025-04-25 16:00:00,2025-04-30 16:00:00,WH-BLR-04,SAP_TM,2025-04-25 18:39:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000084,PO-00000086,TRK-80640600,Oceanic Freight,2025-04-24 16:00:00,2025-04-24 16:00:00,2025-05-03T16:00:00+05:30,WH-BLR-04,SAP_TM,2025-04-24 17:07:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000085,PO-00000087,TRK-85988779,FedEx,2025-04-30 10:00:00,2025-04-30 10:00:00,2025-05-03 10:00:00,WH-BLR-04,SAP_TM,2025-04-30 11:55:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000086,PO-00000088,TRK-97396808,Oceanic Freight,2025-04-26 11:00:00,2025-04-26 11:00:00,2025-05-05 11:00:00,WH-MUM-03,SAP_TM,2025-04-26 11:07:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000087,PO-00000089,TRK-35060378,Oceanic Freight,2025-04-24 12:00:00,2025-04-24 12:00:00,2025-05-03 12:00:00,WH-LKO-01,SAP_TM,2025-04-24 12:46:00,2026-08-05 02:59:59,BATCH_202504_RAW_INBOUND_SHIPMENTS
SHP-00000088,PO-00000090,TRK-55884458,DHL Express,2025-05-02 09:00:00,2025-05-02 09:00:00,2025-05-04 09:00:00,WH-BLR-04,SAP_TM,2025-05-02 10:25:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000089,PO-00000091,TRK-93042743,FedEx,2025-05-05 13:00:00,2025-05-05 13:00:00,2025-05-08 13:00:00,WH-LKO-01,SAP_TM,2025-05-05 14:23:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000090,PO-00000092,TRK-70204709,FedEx,2025-05-04 13:00:00,2025-05-04 13:00:00,2025-05-07 13:00:00,WH-MUM-03,SAP_TM,2025-05-04 15:41:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000091,PO-00000093,TRK-18918880,FedEx,2025-05-07 14:00:00,2025-05-07 14:00:00,2025-05-10 14:00:00,WH-DEL-02,SAP_TM,2025-05-07 15:16:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000092,PO-00000094,TRK-76049447,Oceanic Freight,2025-05-06 13:00:00,2025-05-06 13:00:00,2025-05-15 13:00:00,WH-MUM-03,SAP_TM,2025-05-06 13:14:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000093,PO-00000095,TRK-88797067,Local-Post,2025-05-07 10:00:00,2025-05-07 10:00:00,2025-05-12 10:00:00,WH-BLR-04,SAP_TM,2025-05-07 12:16:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000094,PO-00000096,TRK-71039867,Local-Post,2025-05-10 16:00:00,2025-05-10 16:00:00,2025-05-15 16:00:00,WH-BLR-04,SAP_TM,2025-05-10 16:24:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000095,PO-00000097,TRK-41254605,Local-Post,2025-05-13 10:00:00,2025-05-13 10:00:00,2025-05-18 10:00:00,WH-BLR-04,SAP_TM,2025-05-13 10:02:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000096,PO-00000098,TRK-70616240,DHL Express,2025-05-13 13:00:00,2025-05-13 13:00:00,2025-05-15 13:00:00,WH-DEL-02,SAP_TM,2025-05-13 13:44:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000097,PO-00000099,TRK-40119333,FedEx,2025-05-20 10:00:00,2025-05-20 10:00:00,2025-05-23 10:00:00,WH-LKO-01,SAP_TM,2025-05-20 10:27:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000098,PO-00000100,TRK-17525235,FedEx,2025-05-15 15:00:00,2025-05-15 15:00:00,2025-05-18 15:00:00,WH-BLR-04,SAP_TM,2025-05-15 16:23:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000099,PO-00000101,TRK-52249531,DHL Express,2025-05-14 11:00:00,2025-05-14 11:00:00,2025-05-16 11:00:00,WH-LKO-01,SAP_TM,2025-05-14 11:58:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
SHP-00000100,PO-00000102,TRK-67484347,Local-Post,2025-05-22 11:00:00,2025-05-22 11:00:00,2025-05-27 11:00:00,WH-MUM-03,SAP_TM,2025-05-22 13:19:00,2026-08-05 02:59:59,BATCH_202505_RAW_INBOUND_SHIPMENTS
